Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
03.09.2025 00:00;03.09.2025 01:00;3.878,50;2.012,75;2.339,00;11.625,50;0,00;97,00;-;7.836,25;2.800,00;5.859,00;610,50;1.270,00
03.09.2025 01:00;03.09.2025 02:00;3.870,00;1.961,50;3.121,75;13.032,75;0,00;101,00;-;7.572,25;2.788,00;4.780,50;884,00;1.270,25
03.09.2025 02:00;03.09.2025 03:00;3.876,00;1.886,75;2.934,00;14.272,25;0,00;101,00;-;7.397,50;2.646,50;4.249,25;69,50;1.265,00
03.09.2025 03:00;03.09.2025 04:00;3.878,75;1.872,00;3.348,25;15.948,25;0,00;101,00;-;7.406,50;2.444,25;4.227,25;29,25;1.234,00
03.09.2025 04:00;03.09.2025 05:00;3.868,25;1.865,25;3.588,50;17.222,00;0,00;101,00;-;7.544,00;2.456,25;4.213,00;19,75;1.237,50
03.09.2025 05:00;03.09.2025 06:00;3.845,00;1.890,50;4.144,25;18.068,50;0,00;101,00;-;7.649,25;2.382,25;4.740,00;72,50;1.240,00
03.09.2025 06:00;03.09.2025 07:00;3.825,25;2.091,00;4.441,75;19.089,25;172,75;101,00;-;7.604,75;2.544,25;5.300,50;1.043,25;1.235,75
03.09.2025 07:00;03.09.2025 08:00;3.795,00;2.148,50;4.586,50;19.154,75;3.919,25;101,00;-;7.310,50;2.571,25;5.521,75;1.860,75;1.263,50
03.09.2025 08:00;03.09.2025 09:00;3.779,50;2.019,25;4.682,25;17.581,00;12.665,00;101,00;-;6.966,50;2.477,75;4.817,00;532,75;1.235,50
03.09.2025 09:00;03.09.2025 10:00;3.811,00;1.889,75;4.483,25;16.881,75;23.614,25;98,50;-;5.737,25;2.289,75;3.700,25;136,25;1.238,75
03.09.2025 10:00;03.09.2025 11:00;3.813,50;1.861,50;3.605,25;17.808,75;31.407,00;96,00;-;3.883,00;2.052,75;3.194,75;62,50;1.321,75
03.09.2025 11:00;03.09.2025 12:00;3.812,75;1.901,75;2.892,25;19.668,50;34.822,50;96,00;-;3.754,25;1.820,75;3.025,75;16,25;1.328,00
03.09.2025 12:00;03.09.2025 13:00;3.783,75;1.816,25;3.078,00;20.497,00;34.406,75;93,00;-;3.691,25;1.542,25;2.951,75;71,75;1.327,75
03.09.2025 13:00;03.09.2025 14:00;3.732,00;1.809,00;3.042,00;20.802,50;33.523,50;97,00;-;3.714,50;1.492,25;2.916,00;101,25;1.342,50
